⿱丨一	['丄', '亠']
⿱一③	['不', '𬺶']
⿹②一	['与', '马']
⿱④一	['业', '正']
⿱乛亅	['了', '𠄐']
⿱一一	['二', '𠄞', '𠄟', '𠄠']
⿳一④一	['亙', '𠀜', '𠄣', '𢀚']
⿰亻具	['俱', '倶']
⿰亻直	['値', '值']
⿱丘八	['兵', '𠔊']
⿵冂㐅	['冈', '罓']
⿻𦉫一	['冊', '𠕁']
⿱竹㓣	['劄', '箚']
⿰⿱⿰③刀金刂	['劉', '𣃋']
⿹勹㲃	['匓', '𠣿']
⿰③匕	['北', '此']
⿷匚㞷	['匩', '𠥆']
⿻十丨	['卄', '艹']
⿱⺊⿴囗夕	['卥', '𠧧']
⿰口匈	['哅', '㕼']
⿱品山	['喦', '嵒']
⿳吅大吅	['器', '𠾖']
⿰口毚	['嚵', '𡅛']
⿰𠶮𠶮	['囍', '𡅕']
⿱十一	['土', '士']
⿸③土	['在', '𡉈']
⿱覀土	['垔', '𡊹']
⿱㮊土	['壄', '𡐨']
⿱丿大	['夭', '𫯛']
⿱⑧女	['婁', '𡝤']
⿰女𣬉	['媲', '𡠌']
⿰女⿺免生	['嬎', '嬔']
⿰山孽	['巕', '𡿒']
⿱氶己	['巹', '𢀷']
⿱⿰己己共	['巽', '𢁉']
⿰月帣	['幐', '㬺']
⿳彑冖果	['彙', '𢑥']
⿰忄壬	['忹', '𢗖']
⿱直心	['悳', '惪']
⿱⑧心	['惠', '㥑', '𢜧']
⿰忄麼	['懡', '𢣗']
⿰扌丸	['执', '𢩾']
⿰扌𢆍	['挿', '揷']
⿰扌䍃	['搖', '摇']
⿱日日	['昌', '𭥗']
⿰日免	['晚', '晩']
⿱勿日	['曶', '㫚']
⿰月元	['朊', '䏓']
⿰月分	['朌', '肦']
⿰月出	['朏', '胐']
⿰月句	['朐', '胊']
⿰月兆	['朓', '脁']
⿰月夋	['朘', '脧']
⿰月童	['朣', '膧']
⿰月蒙	['朦', '䑃']
⿰月龍	['朧', '𦢫']
⿰木告	['梏', '梏']
⿰木殺	['榝', '樧']
⿱梄灬	['槱', '𪳝']
⿰木虘	['樝', '𣙁']
⿰木䦨	['欄', '𣟬']
⿰⑤殳	['段', '𫨻']
⿰壳殳	['殻', '殼']
⿰氵⿱林月	['潸', '𣽽']
⿰氵穀	['濲', '瀔']
⿹⑥灬	['烏', '馬']
⿱巸灬	['煕', '熙']
⿰火昷	['煴', '熅']
⿰火勲	['爋', '𤑕', '𤑛']
⿰犭舃	['獡', '𤡯']
⿷王丶	['玉', '玊']
⿰王豕	['琢', '𤥨']
⿰王䍃	['瑤', '瑶']
⿰王晋	['瑨', '𤨁']
⿱畾宐	['疉', '𤴁']
⿸疒𥄳	['瘝', '𤸄']
⿱罒氺	['眔', '𥄳']
⿰石薄	['礡', '礴']
⿰禾⿱尤㫖	['稽', '𥡴']
⿱穴大	['突', '𥤮']
⿱穴眞	['窴', '𥧑']
⿱𮅕巳	['篹', '𥲻']
⿱竹𡨥	['簆', '𥲃']
⿱竹衰	['簑', '簔']
⿱𮅕良	['籑', '𥶉']
⿰糹者	['緒', '緖']
⿰糸者	['緒', '緖']
⿰耳告	['聕', '聕']
⿰月交	['胶', '㬵']
⿰月兩	['脼', '𣍷']
⿰月區	['膒', '𦟾']
⿱自大	['臭', '𦤀']
⿱艹⿻二丨	['芈', '𦍋']
⿱艹兒	['萖', '𦯵']
⿺辶𦬸	['蒁', '𦳯']
⿱艹夔	['虁', '𧅄']
⿱艹夒	['虁', '𡖂']
⿰虫肅	['蟰', '𧑛']
⿰言䍃	['謠', '謡']
⿰言𦰌	['謹', '𧫴']
⿰豸者	['豬', '𧳯']
⿺辶录	['逯', '𨓻']
⿺辶免	['逸', '𨓜']
⿺辶䍃	['遙', '遥']
⿰己阝	['邔', '𨙬']
⿰干阝	['邗', '䢴']
⿰會阝	['鄶', '𨞤']
⿰金𥡞	['鑙', '𨮺']
⿰阝⿱夂生	['隆', '𨺓']
⿰𤴔頁	['頙', '𩑠']
⿰⿱水廾頁	['頮', '颒']
⿰类頁	['類', '𩔖']
⿱埶馬	['騺', '驇']
⿵鬥斲	['鬬', '鬭']
⿰魚𥄳	['鰥', '𩹌']
⿰禾龜	['龝', '䆋']
⿱十早	['龺', '𠦝']
⿲糸言糸	['龻', '䜌']
⿰目㚒	['鿃', '䀹']
⿰魚酒	['鿐', '䲤']
⿱遂灬	['鿪', '㸂']
⿰亻⿱𦦉巳	['㒨', '𠑗']
⿱老口	['㖈', '䎛']
⿹𢦏土	['㘽', '㦳']
⿱高土	['㙜', '𡎲']
⿰女毚	['㜶', '𡤎']
⿳小日儿	['㝸', '𡭪']
⿰月告	['㬶', '𦛩']
⿰月荒	['㬻', '䐠']
⿰木絹	['㯞', '𣚓']
⿱利⿱人氺	['㴝', '𪏭']
