⿱丨一	['丄', '亠J']
⿱一③	['不', '𬺶']
⿹②一	['与GTKV', '马']
⿱④一	['业', '正']
⿱乛亅	['了', '𠄐']
⿱一一	['二', '𠄞', '𠄟', '𠄠']
⿳一④一	['亙', '𠀜', '𠄣', '𢀚']
⿰亻具	['俱', '倶']
⿰亻直	['値', '值']
⿱丘八	['兵', '𠔊']
⿵冂㐅	['冈', '罓']
⿻𦉫一	['冊', '𠕁']
⿱竹㓣	['劄HT', '箚']
⿰⿱⿰③刀金刂	['劉', '𣃋X']
⿹勹㲃	['匓K', '𠣿']
⿰③匕	['北', '此']
⿷匚㞷	['匩TJ', '𠥆']
⿻十丨	['卄', '艹GJ']
⿱⺊⿴囗夕	['卥A', '𠧧X']
⿰口匈	['哅', '㕼K']
⿱品山	['喦', '嵒']
⿳吅大吅	['器J', '𠾖']
⿰口毚	['嚵', '𡅛']
⿰𠶮𠶮	['囍K', '𡅕']
⿱十一	['土', '士']
⿸③土	['在', '𡉈']
⿱覀土	['垔G', '𡊹T']
⿱㮊土	['壄J', '𡐨']
⿱丿大	['夭', '𫯛']
⿱⑧女	['婁', '𡝤']
⿰女𣬉	['媲', '𡠌']
⿰女⿺免生	['嬎', '嬔HT']
⿰山孽	['巕', '𡿒']
⿱氶己	['巹K', '𢀷']
⿱⿰己己共	['巽J', '𢁉']
⿰月帣	['幐', '㬺']
⿳彑冖果	['彙', '𢑥']
⿰忄壬	['忹O', '𢗖']
⿱直心	['悳', '惪']
⿱⑧心	['惠', '㥑', '𢜧']
⿰忄麼	['懡TJKV', '𢣗']
⿰扌丸	['执', '𢩾']
⿰扌𢆍	['挿', '揷']
⿰扌䍃	['搖', '摇']
⿱日日	['昌', '𭥗']
⿰日免	['晚', '晩']
⿱勿日	['曶', '㫚']
⿰月元	['朊', '䏓K']
⿰月分	['朌', '肦JK']
⿰月出	['朏', '胐GK']
⿰月句	['朐', '胊GK']
⿰月兆	['朓', '脁GK']
⿰月夋	['朘', '脧GJK']
⿰月童	['朣', '膧GK']
⿰月蒙	['朦', '䑃KV']
⿰月龍	['朧', '𦢫']
⿰木告	['梏GTKV', '梏J']
⿰木殺	['榝', '樧']
⿱梄灬	['槱JK', '𪳝']
⿰木虘	['樝', '𣙁X']
⿰木䦨	['欄J', '𣟬']
⿰⑤殳	['段', '𫨻']
⿰壳殳	['殻', '殼']
⿰氵⿱林月	['潸G', '𣽽']
⿰氵穀	['濲', '瀔']
⿹⑥灬	['烏', '馬']
⿱巸灬	['煕', '熙']
⿰火昷	['煴', '熅K']
⿰火勲	['爋K', '𤑕', '𤑛']
⿰犭舃	['獡K', '𤡯']
⿷王丶	['玉', '玊']
⿰王豕	['琢J', '𤥨']
⿰王䍃	['瑤', '瑶']
⿰王晋	['瑨G', '𤨁']
⿱畾宐	['疉J', '𤴁']
⿸疒𥄳	['瘝T', '𤸄']
⿱罒氺	['眔J', '𥄳G']
⿰石薄	['礡O', '礴GK']
⿰禾⿱尤㫖	['稽K', '𥡴']
⿱穴大	['突J', '𥤮']
⿱穴眞	['窴K', '𥧑']
⿱𮅕巳	['篹J', '𥲻']
⿱竹𡨥	['簆GJK', '𥲃']
⿱竹衰	['簑', '簔']
⿱𮅕良	['籑', '𥶉G']
⿰糹者	['緒GT', '緖GT']
⿰糸者	['緒J', '緖JK']
⿰耳告	['聕GT', '聕K']
⿰月交	['胶GJK', '㬵']
⿰月兩	['脼GJK', '𣍷']
⿰月區	['膒G', '𦟾']
⿱自大	['臭J', '𦤀']
⿱艹⿻二丨	['芈', '𦍋']
⿱艹兒	['萖', '𦯵']
⿺辶𦬸	['蒁J', '𦳯']
⿱艹夔	['虁GK', '𧅄']
⿱艹夒	['虁J', '𡖂']
⿰虫肅	['蟰', '𧑛']
⿰言䍃	['謠', '謡G']
⿰言𦰌	['謹J', '𧫴']
⿰豸者	['豬K', '𧳯']
⿺辶录	['逯G', '𨓻']
⿺辶免	['逸J', '𨓜']
⿺辶䍃	['遙', '遥G']
⿰己阝	['邔', '𨙬']
⿰干阝	['邗', '䢴G']
⿰會阝	['鄶', '𨞤']
⿰金𥡞	['鑙X', '𨮺']
⿰阝⿱夂生	['隆J', '𨺓']
⿰𤴔頁	['頙J', '𩑠']
⿰⿱水廾頁	['頮', '颒']
⿰类頁	['類J', '𩔖']
⿱埶馬	['騺O', '驇']
⿵鬥斲	['鬬', '鬭']
⿰魚𥄳	['鰥T', '𩹌']
⿰禾龜	['龝', '䆋K']
⿱十早	['龺', '𠦝']
⿲糸言糸	['龻', '䜌']
⿰目㚒	['鿃', '䀹T']
⿰魚酒	['鿐', '䲤O']
⿱遂灬	['鿪', '㸂O']
⿰亻⿱𦦉巳	['㒨G', '𠑗']
⿱老口	['㖈', '䎛']
⿹𢦏土	['㘽', '㦳']
